taxon,genus,subtribe,tribe,subfamily,family,superfamily,order,class,taxon1,taxon2,rand.type,polyphyly.scheme,use.paraphyletic,use.singleton,respect.mono,use.stem,respect.para,clump.puts,prob,keep.tip,MDCC,MDCC.rank
Abies_alba,Abies,,,,Pinaceae,,,Pinopsida,,,,,,,,,,,,1,Tip,Tip
Abies_pinsapo,Abies,,,,Pinaceae,,,Pinopsida,,,,,,,,,,,,1,Tip,Tip
Acer_campestre,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Acer_monspessulanum,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Acer_granatense,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Acer,genus
Acer_opalus,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Acer_platanoides,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Acer_pseudoplatanus,Acer,,Acereae,Hippocastanoideae,Sapindaceae,,Sapindales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Orchis_anthropophora,Orchis,Orchidinae,Orchideae,Orchidoideae,Orchidaceae,,Asparagales,Magnoliopsida,,,,,,,,,,,,1,Orchis,genus
Achillea_ageratum,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
Achillea_ceretanica,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Achillea,genus
Achillea_chamaemelifolia,Achillea,Matricariinae,Anthemideae,Asteroideae,Asteraceae,,Asterales,Magnoliopsida,,,,,,,,,,,,1,Tip,Tip
